#    L    TT             EE             BB             TE          
     2   0.101617E+04   0.308821E-01   0.182459E-05   0.262115E+01
     3   0.962794E+03   0.396901E-01   0.364966E-05   0.293985E+01
     4   0.911437E+03   0.344966E-01   0.608381E-05   0.275836E+01
     5   0.873162E+03   0.230947E-01   0.912766E-05   0.235028E+01
     6   0.847110E+03   0.129517E-01   0.127820E-04   0.189413E+01
     7   0.830638E+03   0.700048E-02   0.170476E-04   0.148886E+01
     8   0.820832E+03   0.450149E-02   0.219257E-04   0.117791E+01
     9   0.816339E+03   0.360328E-02   0.274174E-04   0.966722E+00
    10   0.815722E+03   0.307472E-02   0.335238E-04   0.847336E+00
    11   0.817601E+03   0.259602E-02   0.402465E-04   0.802384E+00
    12   0.822708E+03   0.227841E-02   0.475869E-04   0.812896E+00
    13   0.829145E+03   0.219563E-02   0.555465E-04   0.855262E+00
    14   0.836746E+03   0.228728E-02   0.641270E-04   0.908411E+00
    15   0.844465E+03   0.247207E-02   0.733301E-04   0.964810E+00
    16   0.854081E+03   0.273004E-02   0.831575E-04   0.102599E+01
    17   0.865442E+03   0.310379E-02   0.936109E-04   0.108941E+01
    18   0.877404E+03   0.363700E-02   0.104692E-03   0.115382E+01
    19   0.890727E+03   0.433325E-02   0.116403E-03   0.122242E+01
    20   0.903799E+03   0.517003E-02   0.128746E-03   0.129016E+01
    21   0.917318E+03   0.614088E-02   0.141721E-03   0.136163E+01
    22   0.931311E+03   0.725674E-02   0.155332E-03   0.143718E+01
    23   0.945394E+03   0.850978E-02   0.169580E-03   0.151414E+01
    24   0.959885E+03   0.989709E-02   0.184465E-03   0.158911E+01
    25   0.974919E+03   0.114233E-01   0.199991E-03   0.165430E+01
    26   0.990006E+03   0.131007E-01   0.216158E-03   0.171336E+01
    27   0.100555E+04   0.149402E-01   0.232968E-03   0.176710E+01
    28   0.102139E+04   0.169358E-01   0.250422E-03   0.181076E+01
    29   0.103744E+04   0.191137E-01   0.268521E-03   0.184938E+01
    30   0.105389E+04   0.215025E-01   0.287267E-03   0.187632E+01
    31   0.107015E+04   0.240984E-01   0.306660E-03   0.190236E+01
    32   0.108700E+04   0.269176E-01   0.326702E-03   0.192245E+01
